iter	Passed	Remaining
713	2783	1115
714	2785	1110
715	2787	1105
716	2791	1101
717	2799	1099
718	2804	1095
719	2814	1094
720	2817	1090
721	2820	1085
722	2822	1081
723	2824	1076
724	2826	1072
725	2833	1069
726	2839	1066
727	2843	1062
728	2846	1058
729	2849	1053
730	2851	1049
731	2853	1044
732	2864	1043
733	2868	1039
734	2870	1035
735	2873	1030
736	2876	1026
737	2878	1021
738	2882	1017
739	2890	1015
740	2894	1011
741	2897	1007
742	2900	1003
743	2902	998
744	2904	994
745	2915	992
746	2919	988
747	2924	985
748	2926	980
749	2929	976
750	2932	972
751	2943	970
752	2947	966
753	2951	963
754	2954	958
755	2956	954
756	2963	951
757	2970	948
758	2975	944
759	2978	940
760	2980	936
761	2982	931
762	2990	928
763	2997	925
764	3001	921
765	3004	917
766	3006	913
767	3008	908
768	3011	904
769	3024	903
770	3027	899
771	3031	895
772	3034	891
773	3037	886
774	3041	882
775	3051	880
776	3055	876
777	3058	872
778	3060	868
779	3063	863
780	3071	861
781	3077	858
782	3083	854
783	3086	850
784	3089	846
785	3091	841
786	3095	837
787	3105	835
788	3108	831
789	3111	827
790	3114	822
791	3117	818
792	3121	814
793	3131	812
794	3135	808
795	3139	804
796	3141	800
797	3145	796
798	3150	792
799	3158	789
800	3163	785
801	3166	781
802	3169	777
803	3171	773
804	3173	768
805	3183	766
806	3188	762
807	3191	758
808	3194	754
809	3197	749
810	3199	745
811	3201	741
812	3203	736
813	3205	732
814	3206	727
815	3209	723
816	3211	719
817	3215	715
818	3225	712
819	3229	708
820	3232	704
821	3235	700
822	3238	696
823	3247	693
824	3253	690
825	3260	686
826	3262	682
827	3265	678
828	3270	674
829	3280	671
830	3285	668
831	3287	663
832	3290	659
833	3297	656
834	3304	652
835	3308	648
836	3311	644
837	3314	640
838	3316	636
839	3318	632
840	3320	627
841	3322	623
842	3324	619
843	3331	615
844	3337	612
845	3341	608
846	3343	604
847	3346	599
848	3348	595
849	3351	591
850	3361	588
851	3366	584
852	3370	580
853	3373	576
854	3379	573
855	3386	569
856	3389	565
857	3392	561
858	3395	557
859	3397	553
860	3399	548
861	3404	545
862	3413	541
863	3418	538
864	3421	533
865	3424	529
866	3426	525
867	3436	522
868	3442	518
869	3447	515
870	3450	511
871	3452	506
872	3454	502
873	3457	498
874	3459	494
875	3461	490
876	3463	485
877	3465	481
878	3468	477
879	3475	473
880	3481	470
881	3486	466
882	3488	462
883	3491	458
884	3493	453
885	3501	450
886	3507	446
887	3511	442
888	3513	438
889	3516	434
890	3520	430
891	3526	426
892	3534	423
893	3538	419
894	3541	415
895	3544	411
896	3546	407
897	3553	403
898	3560	399
899	3563	395
900	3566	391
901	3569	387
902	3571	383
903	3574	379
904	3586	376
905	3590	372
906	3593	368
907	3596	364
908	3599	360
909	3609	356
910	3615	353
911	3618	349
912	3621	345
913	3623	340
914	3625	336
915	3627	332
916	3630	328
917	3632	324
918	3635	320
919	3638	316
920	3640	312
921	3642	308
922	3644	304
923	3647	299
924	3658	296
925	3662	292
926	3665	288
927	3668	284
928	3670	280
929	3671	276
930	3673	272
931	3680	268
932	3685	264
933	3688	260
934	3691	256
935	3693	252
936	3695	248
937	3697	244
938	3704	240
939	3709	236
940	3713	232
941	3716	228
