iter	TotalF1	Logloss
221	0.7290884516	0.5143837972
222	0.7290795037	0.5143226298
223	0.7290896898	0.5142974501
224	0.7292028948	0.5142698929
225	0.7291931474	0.5142316533
226	0.729281474	0.5141864709
227	0.729311567	0.5141290356
228	0.7292989327	0.5140492443
229	0.7293893285	0.5140257741
230	0.7293946685	0.5139922769
231	0.7294212347	0.5139493794
232	0.7293557141	0.5138994833
233	0.7294052975	0.5138655638
234	0.7294289309	0.5138361019
235	0.7294091218	0.5137892108
236	0.7294489853	0.5137292266
237	0.7295159843	0.5136870563
238	0.7295557923	0.5136350127
239	0.7295197559	0.513604726
240	0.7295496869	0.513550287
241	0.7295233468	0.5135183568
242	0.7295435657	0.5134862629
243	0.7296208159	0.5134572907
244	0.729659727	0.5134222213
245	0.7296802151	0.5133811839
246	0.7297308434	0.5133471368
247	0.7297096919	0.5133213595
248	0.7297682806	0.5132688181
249	0.7298216728	0.5132198708
250	0.7298691695	0.5131753291
251	0.7298939678	0.5131456618
252	0.7298940733	0.5131280147
253	0.7299423652	0.5130693838
254	0.7299805595	0.5130514463
255	0.7300735865	0.513015858
256	0.7301145589	0.5129621076
257	0.7301015674	0.5129183856
258	0.7301861222	0.512885932
259	0.7301839058	0.5128596043
260	0.7301756128	0.5128139482
261	0.7301719713	0.5127785368
262	0.7302451162	0.5127476819
263	0.7302319152	0.5127305774
264	0.7303056482	0.5127115515
265	0.7302591954	0.5126847081
266	0.7303547058	0.5126167912
267	0.7303388021	0.5125979047
268	0.7303900745	0.5125755677
269	0.730368199	0.5125215897
270	0.7304163896	0.5124631055
271	0.7304338311	0.5124213268
272	0.730435467	0.5124020923
273	0.7304574302	0.512356447
274	0.7304882555	0.5123119936
275	0.7304779399	0.5122597854
276	0.730495274	0.5122363426
277	0.7304962256	0.5122111496
278	0.7305545929	0.5121688454
279	0.7305304696	0.5121419574
280	0.7305238178	0.5121250567
281	0.730618166	0.512100306
282	0.7306473347	0.5120299526
283	0.730683837	0.5119823978
284	0.7307273244	0.5119349085
285	0.7307968133	0.5118698759
286	0.7308469769	0.5118042925
287	0.7308908131	0.5117886646
288	0.7309649683	0.5117572339
289	0.7309717014	0.5117232172
290	0.7310931821	0.511678534
291	0.7310628899	0.5116650644
292	0.731079948	0.5116164589
293	0.7311647768	0.5115801637
294	0.7311596501	0.5115336162
295	0.7312301435	0.5114778024
296	0.731251639	0.5114373509
297	0.7313037912	0.5113721012
298	0.7313069144	0.511354137
299	0.7313419337	0.5113327893
300	0.7313176643	0.5113148047
301	0.7313399227	0.5112962527
302	0.7313422105	0.5112363535
303	0.7313986536	0.511205851
304	0.7313919965	0.5111935481
305	0.7314365818	0.5111369929
306	0.7314657668	0.5111028641
307	0.7314939877	0.5110858217
308	0.7314932258	0.5110734881
309	0.7315222747	0.5110385489
310	0.7315588726	0.5110169856
311	0.7315782151	0.510991894
312	0.731634783	0.5109438642
313	0.7316610976	0.5109069487
314	0.7316373183	0.5108904673
315	0.7316411216	0.5108733724
316	0.7317014821	0.5108322865
317	0.7316903837	0.5107997966
318	0.7317848538	0.5107828605
319	0.73173128	0.5107594792
320	0.731797413	0.5107380833
321	0.7317975316	0.5107244405
322	0.7317693151	0.5107077478
323	0.731800044	0.5106710324
324	0.7318210125	0.5106374695
325	0.7318144096	0.5106004632
326	0.7318493966	0.5105867286
327	0.7318657516	0.5105813524
328	0.7318709503	0.5105676552
329	0.7319406992	0.510536445
330	0.7319721648	0.5104935216
331	0.7320656859	0.5104710982
332	0.7320552887	0.5104479576
333	0.7320857226	0.5104195359
334	0.7320815444	0.5103826854
335	0.7320792719	0.5103633883
336	0.7321900543	0.5103183411
337	0.7322139251	0.5102871639
338	0.7322182664	0.5102676349
339	0.7322244694	0.5102252111
340	0.7322453101	0.5102079224
341	0.7322631248	0.5101861349
342	0.7322780105	0.5101610891
343	0.7322541932	0.5101279672
344	0.7322676627	0.5100889147
345	0.7322575513	0.5100518283
346	0.7322383195	0.510021212
347	0.7322697328	0.5100029497
348	0.7322763503	0.5099676585
349	0.7323484464	0.5099182018
350	0.7323930873	0.5098735974
351	0.7323856256	0.5098483746
352	0.7323813558	0.5098211168
353	0.7323953947	0.50980289
354	0.7323961493	0.5097868028
355	0.7323969466	0.509760435
356	0.7324392765	0.5097376988
357	0.732451975	0.5097250416
358	0.7324906965	0.5097050952
359	0.7325152523	0.5096792588
360	0.7325658285	0.5096536225
361	0.7325382997	0.5096206066
362	0.7325257638	0.5095990077
363	0.7326461848	0.5095773405
364	0.7326357924	0.5095622592
365	0.7326097738	0.5095474275
366	0.7326832377	0.5095372665
367	0.7326923425	0.5095001482
368	0.7326663263	0.5094886215
369	0.7327450902	0.5094637104
370	0.7327716824	0.5094316629
371	0.7328036813	0.5094153369
372	0.732823644	0.5094031411
373	0.7327991678	0.5093908898
374	0.7328193037	0.5093684303
375	0.7328104499	0.5093504147
376	0.7328207736	0.5093231256
377	0.7328371476	0.5093051674
378	0.7328269225	0.5092913616
379	0.7329110529	0.509269901
380	0.7329014132	0.5092282074
381	0.7328790998	0.5092167248
382	0.7329727042	0.5091878174
383	0.7329935137	0.5091622883
384	0.7330780802	0.5091299766
385	0.7330877484	0.5091158834
386	0.73311289	0.5090777756
387	0.7331954533	0.5090345624
388	0.7332199031	0.5090062645
389	0.7332302933	0.5089832707
390	0.7332800719	0.5089690124
391	0.7332637878	0.5089525413
392	0.7332644616	0.5089390575
393	0.7333037737	0.5088971693
394	0.7332874391	0.508867459
395	0.7332941076	0.5088339825
396	0.7333558453	0.5088098257
397	0.7333840657	0.5087746537
398	0.733417547	0.5087540583
399	0.7334509375	0.5087334359
400	0.7334976886	0.5086968605
401	0.7335170736	0.5086743414
402	0.733549735	0.508659546
403	0.7335519778	0.5086502414
404	0.7335675413	0.5086408749
405	0.7335839469	0.5086121913
406	0.7335439254	0.5086028493
407	0.7335825243	0.5085801624
408	0.7335951356	0.5085575897
409	0.7335861519	0.5085256579
410	0.7336358519	0.5085061818
411	0.7336144175	0.5084784092
412	0.733618152	0.5084506806
413	0.7336767451	0.5084040659
414	0.7336515556	0.5083954912
415	0.7336797805	0.5083743825
416	0.7336939451	0.5083575827
417	0.7336983925	0.508331813
418	0.7337548305	0.5083110017
419	0.7337956572	0.5082903715
420	0.7337682125	0.5082699687
421	0.733778599	0.5082541546
422	0.7337711692	0.5082313596
423	0.7337933948	0.508199061
424	0.7338646116	0.5081730922
425	0.7338995226	0.5081570442
426	0.7338876572	0.5081300319
427	0.7339159111	0.5080962268
428	0.7338959037	0.5080667478
429	0.7339545553	0.5080485889
430	0.7339189264	0.5080295593
431	0.7339167022	0.5080196146
432	0.7339367534	0.5080004841
433	0.7339701173	0.5079848337
434	0.7339782938	0.5079621387
435	0.7339478747	0.5079474688
436	0.7339671796	0.507930229
437	0.7339486341	0.5079194763
438	0.733933793	0.5079132882
439	0.7339486485	0.5079015349
440	0.7340169049	0.5078757518
441	0.7340859	0.5078540306
442	0.7341059255	0.5078251387
443	0.7340821743	0.5077998461
444	0.7341348403	0.5077905275
445	0.734147454	0.5077771276
446	0.7341511728	0.5077653131
447	0.7341652772	0.5077378134
448	0.7341630426	0.5077251697
449	0.734160818	0.5077094806
450	0.7341630526	0.5076924496
451	0.7341734461	0.5076670223
452	0.7342201716	0.5076498822
453	0.7342542888	0.5076334614
454	0.7341971761	0.5076181078
455	0.7342416776	0.5075986136
456	0.7342528017	0.5075906423
457	0.7342602225	0.5075769103
458	0.7342446474	0.5075568344
459	0.7342683824	0.5075411319
460	0.7342839573	0.5075109497
461	0.7343099148	0.5074806353
462	0.7343121398	0.5074681698
463	0.7343736972	0.5074446867
464	0.7344152306	0.5074151757
465	0.7344256139	0.5074040869
466	0.734448599	0.5073786535
467	0.7344812318	0.5073606387
468	0.7345353655	0.5073395798
469	0.7345568749	0.5073313936
470	0.7345509395	0.5073203596
471	0.7345813393	0.507299505
472	0.7345850413	0.5072822565
473	0.7345998435	0.5072699812
474	0.7345954037	0.5072504879
475	0.7346391253	0.5072363967
476	0.7346776787	0.5072100183
477	0.7347221611	0.5071832323
478	0.7347228654	0.5071633388
479	0.7347658758	0.507149034
480	0.7347555133	0.5071210394
481	0.7347859177	0.5071060255
482	0.734755495	0.5070783388
483	0.7347977472	0.5070462261
484	0.7348229605	0.5070246658
485	0.7348051735	0.5070017212
486	0.7348318215	0.5069921684
487	0.7348333092	0.506962149
488	0.7348244163	0.506939309
489	0.7348288461	0.5069192793
490	0.734835524	0.5069030501
491	0.7348740578	0.5068720954
492	0.7349007337	0.5068615024
493	0.7349244316	0.5068515214
494	0.7349340739	0.5068221675
495	0.7349407253	0.5068114148
496	0.7349273682	0.5068013494
497	0.7349451498	0.5067855434
498	0.7349784551	0.5067663941
499	0.7349569445	0.506751405
500	0.7349590915	0.5067318264
501	0.7350101964	0.5067158701
502	0.7350242737	0.5067036807
503	0.7350524278	0.5066831498
504	0.7350457483	0.5066689931
505	0.7350456735	0.5066540528
506	0.7350679004	0.5066351688
507	0.7350827313	0.5066243005
508	0.7350842222	0.5066135543
509	0.7350605424	0.5066010029
510	0.7350850343	0.5065926901
511	0.7351176405	0.5065669612
512	0.7351673042	0.5065424026
513	0.7351324525	0.5065230394
514	0.7351406233	0.5065006441
515	0.735127244	0.5064851588
516	0.7352250573	0.506465265
517	0.7352028104	0.506444705
518	0.7351916766	0.5064320211
519	0.7352035457	0.5064140552
520	0.7352361913	0.5063939522
521	0.735237576	0.5063823098
522	0.7352471964	0.5063666941
523	0.7352797978	0.5063560636
524	0.7352938253	0.5063316801
525	0.735341208	0.5063043002
526	0.7353419423	0.506282671
527	0.7353671743	0.5062588604
528	0.7353501403	0.5062474359
529	0.735338981	0.5062283141
530	0.7353374637	0.5062190498
531	0.7353693275	0.5061962113
532	0.7353892185	0.5061809607
533	0.7354025554	0.506164497
534	0.7354270809	0.5061462677
535	0.7354321087	0.5061249774
536	0.7354425659	0.5061019486
537	0.7354336569	0.5060903114
538	0.7355091653	0.5060740826
539	0.735529945	0.506060778
540	0.7355135631	0.5060338996
541	0.7355824985	0.5060172291
542	0.7355779844	0.5059952896
543	0.7355482941	0.5059701409
544	0.735548936	0.5059556824
545	0.7356014794	0.5059421518
546	0.7356117255	0.5059241843
547	0.7355835624	0.505913103
548	0.7356012859	0.5058864687
549	0.7356620669	0.5058656477
550	0.735621368	0.50584738
551	0.7356569461	0.5058329617
552	0.7356915209	0.505814066
553	0.7357033563	0.5058042103
554	0.7356811125	0.5057939485
555	0.7357203426	0.5057778412
556	0.7357655249	0.5057628196
557	0.7358010641	0.5057529637
558	0.7357722089	0.5057326117
559	0.7358618052	0.5057058929
560	0.7358713728	0.5056894903
561	0.7358661485	0.505673846
562	0.7358565812	0.5056570321
563	0.7359491312	0.5056445884
564	0.7359305362	0.5056376888
565	0.7359209708	0.505628673
566	0.7359469416	0.5056112607
567	0.7359462501	0.5056037244
568	0.735970528	0.5055894717
569	0.735962423	0.5055807264
570	0.7359779821	0.5055591091
571	0.7359950004	0.5055424615
572	0.7359639216	0.5055249331
573	0.7359861265	0.5055073079
574	0.7359682997	0.5054939898
575	0.7359519717	0.5054777917
576	0.7359393314	0.5054626001
577	0.7359438275	0.50544606
578	0.7359860072	0.5054303791
579	0.7360259977	0.5054208707
580	0.7360074002	0.5053972509
581	0.7360289146	0.5053787193
582	0.7360385577	0.5053610726
583	0.7360547209	0.5053417938
584	0.7360563035	0.5053289746
585	0.7360659466	0.5053168882
586	0.7361066228	0.5052990769
587	0.7360903776	0.5052830747
588	0.7361266802	0.5052723749
589	0.7360829629	0.5052606801
590	0.7360918355	0.5052470624
591	0.7361022493	0.5052333192
592	0.7360844209	0.5052187512
593	0.7361073516	0.5052017145
594	0.7360887941	0.5051869644
595	0.73611108	0.5051727772
596	0.7361236807	0.5051674098
597	0.7361777271	0.5051526427
598	0.7361896419	0.505142311
599	0.7362037	0.5051228281
600	0.7362659327	0.5051045867
601	0.7362858167	0.5050879034
602	0.7362553853	0.5050667443
603	0.7362946432	0.5050524362
604	0.7363183883	0.5050379554
605	0.7363115664	0.5050074897
606	0.7363093375	0.5049900339
607	0.736307063	0.5049779512
608	0.736329261	0.5049716313
609	0.736341815	0.5049573581
610	0.7363498639	0.5049460467
611	0.7363432236	0.5049365715
612	0.7363559167	0.5049288002
613	0.7363403136	0.5049177307
614	0.7363558236	0.5048982054
615	0.7363869367	0.504890198
616	0.7363995838	0.5048847309
617	0.7363683767	0.5048710682
618	0.736367555	0.504851633
619	0.7363719179	0.5048419716
620	0.7363905256	0.5048225685
621	0.736373905	0.5048064521
622	0.736370271	0.5047820184
623	0.7363932893	0.504771229
624	0.7363621299	0.5047620417
625	0.7363791876	0.5047523292
626	0.736374147	0.5047380082
627	0.7363911569	0.5047310206
628	0.7364147569	0.5047149228
629	0.7364516807	0.5047088581
630	0.7364598215	0.5046905226
631	0.7364938875	0.504682364
632	0.7364945635	0.5046769095
633	0.736477606	0.5046587523
634	0.7364977195	0.5046460362
635	0.7365369213	0.5046359955
636	0.7365162806	0.5046161244
637	0.7365582865	0.5045913758
638	0.7365450116	0.5045739711
639	0.7365471903	0.5045617623
640	0.7366033963	0.5045496069
641	0.7366085812	0.5045365319
642	0.7365989373	0.5045209823
643	0.7366832413	0.5045090877
644	0.7366684655	0.5044960142
645	0.7366675806	0.5044841166
646	0.7366817372	0.5044741921
647	0.7366757737	0.504448896
648	0.7366823556	0.5044338949
649	0.7367045986	0.5044241859
650	0.7367142427	0.5044144564
651	0.7366964051	0.504402336
652	0.7366979095	0.5043997824
653	0.7366941214	0.5043898432
654	0.7366860359	0.504375751
655	0.7366971304	0.5043644552
656	0.7367142427	0.5043516459
657	0.736724612	0.5043435224
658	0.7367387156	0.5043293545
659	0.7367342562	0.5043187585
660	0.736778634	0.5043053215
661	0.7367971428	0.5042996135
662	0.7368349401	0.5042862768
663	0.7368452541	0.5042825341
664	0.7368209459	0.504274944
665	0.7368483194	0.5042678188
666	0.7368785916	0.5042554098
667	0.7369429804	0.5042477161
668	0.7369209051	0.504240488
669	0.7369312745	0.5042301291
